node   1  (   0,    0) (   3,    3) (   4,    4) (   2,    2) (   0,    0) (   0,    0) (   1,    0) (   5,    0) (   5,    4) (   5,    3)
          (   0,    0) (   1,    1) (   1,    1) (   0,    0) (   0,    2) (   3,    1) (   0,    1) (   0,    0) (   1,    1) (   0,    3)
          (   2,    0) (   0,    0) (   0,    0) (   0,    0) (   5,    0) (   3,    3) (   0,    1) (   0,    1) (   0,    1) (   0,    1)
          (   0,    2) (   1,    1) (   0,    2) (   0,    0) (   0,    0) (   0,    1) (   0,    1) (   0,    2) (   2,    4) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   5,    0) (   2,    4) (   1,    1) (   1,    0) (   2,    0) (   1,    0) (   3,    0)
          (   5,    1) (   5,    0) (   0,    2) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   3,    1) (   3,    0) (   1,    1)
          (   2,    0) (   1,    0) (   1,    1) (   1,    1) (   0,    1) (   0,    1) (   1,    1) (   1,    2) (   1,    0) (   0,    2)
          (   0,    0) (   0,    0) (   0,    2) (   1,    1) (   1,    2) (   0,    3) (   0,    1) (   2,    2) (   1,    0) (   1,    1)
          (   5,    0) (   1,    0) (   0,    1) (   2,    3) (   1,    0) (   0,    1) (   0,    0) (   1,    0) (   5,    0) (   0,    2)
          (   0,    0) (   0,    0) (   0,    1) (   0,    0) (   0,    1) (   1,    4) (   0,    2) (   0,    1) (   0,    1) (   2,    0)
          (   0,    1) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
